idbrand;brand_name
1091;lindt-creation
1092;granola
1093;isigny-sainte-mere
1094;fin-carre
1095;m-m-s
1096;chupa-chups
1097;280g
1098;nid-d-abeille
1099;monin
1100;bridelight
1101;van-houten
1102;v
1103;kellogs
1104;monster-munch
1105;ker-cadelac
1106;swing
1107;ricola
1108;paysange
1109;horeca-select
1110;metro
1111;fruit-d-or
1112;ste-alix
1113;la-balinesa
1114;le-fournee-doree
1115;pate-de-piment-aux-feuilles-de-basilic
1116;freeway
1117;petits-filous
1118;quaker-life
1119;nadya
1120;nat-vie
1121;delisse
1122;la-vie-claire
1123;le-ster
1124;galbani
1125;la-mere-poulard
1126;carlsberg
1127;bk
1128;bledina-blediner
1129;viennetta
1130;nustikao
1131;destrier
1132;hermes
1133;lightbody
1134;regilait
1135;fromagerie-maitre-pennec
1136;groupe-avril
1137;piquebroche
1138;pescanova
1139;haagen-dazs
1140;mr-min
1141;le-gout-de-l-essentiel
1142;nestle-p-tite-cereale
1143;zed-candy
1144;sainte-lucie
1145;nature-et-cie
1146;dailymonop
1147;tourteaux-jahan
1148;antoinette-patisserie
1149;lunchbox
1150;orangina-schweppes-france
1151;dukan
1152;gayelord-hauser
1153;skøll
1154;tuborg
1155;skoll
1156;tuborg-skoll
1157;evian
1158;abra-ca-debora
1159;chantereine
1160;st-yorre
1161;gastronome
1162;ti-bio
1163;winsenia
1164;delacre
1165;delichoc
1166;mix-multitude-d-ingredients-savoureux
1167;mix-buffet
1168;moulins-soufflet
1169;kellog-s
1170;fromagerie-de-la-drome
1171;jean-martin
1172;les-antonin
1173;les-saveurs-du-pays-catalan
1174;tlj
1175;carapelli
1176;bio-groupe
1177;tete-noire
1178;croc-sec
1179;kritsen-traiteur
1180;les-fromagers-de-sainte-colombe
1181;biscuiterie-des-iles
1182;gerble-sans-gluten
1183;miguelgorry
1184;jardins-de-navarre
1185;domaine-de-sansac
1186;la-vache-qui-rit
1187;toastinette
1188;fromageries-bel
1189;schar
1190;frutos
1191;trader-joe-s
1192;fromagerie-milleret
1193;gusti-italiani
1194;alliance-gastronomie
1195;coco-pops
1196;biscuiterie-chenel
1197;madeleines-de-liverdun
1198;baccara
1199;maitre-jean-pierre
1200;mi-gusta
1201;beillevaire
1202;wonderful-pistachios
1203;paul-louise
1204;casino-delicescasino
1205;la-potagere
1206;isla-delice
1207;mondelēz
1208;cantile
1209;sounas
1210;grand-chocolat
1211;marie-morin
1212;florelli
1213;vitasia
1214;foods-international
1215;tien-shan
1216;bret-s
1217;benenuts-pop-corn-apero
1218;casino-famili
1219;campbell-france
1220;beyer
1221;bio-la-vie
1222;maison-lathuile
1223;bon-naturellement
1224;loc-maria
1225;saint-amand
1226;piccolinis
1227;magic-pop
1228;modifast
1229;frima
1230;memoires
1231;marie-dolin
1232;crownfield
1233;cigalou
1234;maison-meneau
1235;bella-lula
1236;espuna
1237;favols
